sentiment,word
-0.40819815409783655,捂脸
0.942452004267632,玫瑰
-0.8191443086906576,呲牙
-2.1544190921964574,泣不成声
-0.1013015198914217,鼓掌
1.6851653568473204,赞赞
-2.3076711885256866,说
-1.505519977543261,喜欢
-1.7846158886229266,想
1.3677765298486593,泪奔
-0.7061016971960719,微笑
0.5005637193960303,赞
5.8574194935729915,比心
-2.287516702356248,吃
-2.05339177200993,做
0.49258412533261153,流泪
-2.11570460769084,太
-2.01902965361401,真的
7.229037258349531,感谢
-0.1028780891532877,赞赞赞
-0.5864528147076046,哈哈哈
-1.083763856265239,好看
0.16979288024599476,中国
-1.375634851498062,爱
-1.4735415814120505,买
-1.1138357273522577,感觉
-1.3329114593847669,真
-0.7544697581064344,哈哈哈哈
-0.6461864212177747,孩子
-0.9040580701086907,视频
5.908595347334794,爱心
-1.4798164504038755,抠鼻
-0.8946123613556998,手机
-0.34940048119607864,灵机一动
6.856016229473633,加油
-1.769013199538418,好听
-0.6347310486023977,这是
-0.48576550221989645,可爱
-1.0095649946498861,屏保
-1.3841000759640214,壁纸
-1.527177592877983,男
0.7744894998568403,拍
-1.3692036706183717,笑
-0.8723724523842578,好像
-0.9033138583309895,听
-0.9680451216254342,死
-0.6668102891818123,漂亮
-0.4358806892486113,大笑
-0.9615973528281463,女人
-1.1000457032806408,钱
3.8018797183349475,酷拽
2.912332789590443,一起加油
-1.3887318064106324,挺
-0.9315008870485539,男人
-0.4501816906793351,笑哭
7.863138171391551,送心
-1.2565546176128997,找
-1.5124377908927737,走
-1.037025252337533,里
191.5156659714141,打脸
-1.6984974134068658,玩
-1.3769717953032912,抖音
-1.4167424961105748,刷
-0.62228700279065,关注
-1.1202863343669713,发呆
159.87733460085641,发怒
-0.6999670649911043,美女
-1.1148691453967865,男朋友
-1.6565142777881197,老公
3.9125783644299044,不错
-1.2062170262547998,车
-0.6395332181308739,老师
1.4149256470998504,厉害
-1.271614801935011,完
-0.9504889073505874,奸笑
-1.2559299379658149,穿
-1.2665309774300273,女
1.1856858061717677,唱
0.26612576832787777,点
-0.7880618452588061,卧槽
209.6521419255043,强壮
-1.3208870345633887,年
-0.9537751124221359,两个
-1.3594867437074156,东西
-0.635241363827498,小姐姐
-0.1293351926234062,呆无辜
-1.109514566317849,不好
-0.9962683857031324,评论
-0.8898640565732631,好好
-1.5067303572885222,懂
-0.7892232458021297,希望
-0.9890415777526456,老婆
-0.4013651628090459,哥哥
-1.1995885992914268,发现
-1.4416653073373529,刚刚
-0.6552851905686177,回来
-1.2655652983356964,有钱
-0.7615445532875998,牛
-1.31204770667739,开
0.08770803531867094,支持
-0.9037502726751572,不失礼貌的微笑
-1.0625135447954526,问
